Page,Status,Type,Document,LLM Document,Time (s),Data
1,Completed,scanned,Voter ID,Voter ID (100%),15.33,-
2,Completed,scanned,Voter ID,Voter ID (100%),19.39,"{""address"": ""RJ15/110081661 -（0) 45. MEHAR BASTSEAEAIBARHTA Address. TEHSIL-PAGHAPAHAD DISTT.JHALAIWAR 20 Date 08/0/2008 187- Pt  sn Facsimile Signature of the Electoral Regstra..."
3,Completed,digital,Aadhaar,Aadhaar (100%),2.31,"{""applicant_name"": ""Date of Birth"", ""address"": ""Landmark Locality City / District Pin Code""}"
4,Completed,digital,Aadhaar,Aadhaar (98%),4.01,"{""applicant_name"": ""co=\""W/O:  \"" country=\"" \"" dist=\""\"" lang=\""06\"" loc=\"" \"" name=\"" \"" pc=\""326502\"" state=\""\"""", ""dob"": ""1962-01-01"", ""address"": ""EGOVERNANCE DIVISION 4th F..."
5,Completed,digital,Aadhaar,Aadhaar (100%),2.40,"{""applicant_name"": ""Date of Birth"", ""address"": ""Landmark Locality City / District Pin Code""}"
6,Completed,digital,Aadhaar,Aadhaar (98%),3.97,"{""applicant_name"": ""<SignedInfo><CanonicalizationMethod Algorithm=\""http://www.w3.org/2001/10/xml-exc-c14n#\""/>"", ""dob"": ""1994-05-18"", ""address"": ""EGOVERNANCE DIVISION 4th FLOOR..."
7,Completed,digital,PAN,PAN Card (90%),1.80,"{""applicant_name"": ""PEERU LAL"", ""pan_number"": ""BCXPL9010K"", ""dob"": ""1994-05-18""}"
8,Completed,digital,Aadhaar,Aadhaar (100%),2.87,"{""applicant_name"": ""Date of Birth"", ""address"": ""Landmark Locality City / District Pin Code""}"
9,Completed,digital,Aadhaar,Aadhaar (100%),3.86,"{""applicant_name"": ""xmlns=\""http://www.w3.org/2000/09/xmldsig#\"">"", ""dob"": ""1961-06-05"", ""address"": ""EGOVERNANCE DIVISION 4th FLOOR ELECTRONICS NIKETAN 6,ST=Delhi,L=South Delhi,..."
10,Completed,digital,PAN,PAN Card (95%),2.51,"{""applicant_name"": ""UNKAR LAL"", ""pan_number"": ""BBEPL4329P"", ""dob"": ""1961-06-05""}"
11,Completed,digital,Unknown,CIBIL Report (90%),3.11,-
12,Completed,digital,Unknown,CIBIL Report (80%),2.28,-
13,Completed,scanned,Aadhaar,Aadhaar (100%),20.46,"{""aadhaar_number"": ""227153851187"", ""address"": ""siaexor Unique ldentincation Authorty-or hndia 3E e WIO: ER RTET xaeT Address. W/O:UkarLal, STAS semali bakhta, Semlibakta, Jhalaw..."
14,Completed,digital,Bank Statement,Bank Statement (100%),2.63,"{""account_holder_name"": ""DoB"", ""account_number"": ""4386"", ""ifsc"": ""PUNB0007100""}"
15,Completed,digital,CIBIL Report,CIBIL Report (100%),2.66,"{""applicant_name"": ""RADHA BAI"", ""credit_score"": ""714""}"
16,Completed,digital,CIBIL Report,CIBIL Report (100%),2.01,"{""applicant_name"": ""RADHA BAI""}"
17,Completed,digital,CIBIL Report,CIBIL Report (100%),1.78,"{""applicant_name"": ""RADHA BAI""}"
18,Completed,digital,CIBIL Report,CIBIL Report (95%),2.96,"{""applicant_name"": ""UNKAR LAL"", ""credit_score"": ""721""}"
19,Completed,digital,CIBIL Report,CIBIL Report (100%),3.07,"{""applicant_name"": ""UNKAR LAL""}"
20,Completed,digital,CIBIL Report,CIBIL Report (100%),3.10,"{""applicant_name"": ""UNKAR LAL""}"
21,Completed,digital,CRIF Report,CRIF Report (100%),2.59,"{""applicant_name"": ""RADHA BAI""}"
22,Completed,digital,CRIF Report,-,3.07,"{""applicant_name"": ""institution""}"
23,Completed,digital,CIBIL Report,CIBIL Report (100%),3.88,"{""applicant_name"": ""PEERU LAL"", ""credit_score"": ""757""}"
24,Completed,digital,CIBIL Report,CIBIL Report (100%),2.44,"{""applicant_name"": ""PEERU LAL""}"
25,Completed,digital,CIBIL Report,CIBIL Report (100%),2.73,"{""applicant_name"": ""PEERU LAL""}"
26,Completed,digital,CIBIL Report,CIBIL Report (100%),2.49,"{""applicant_name"": ""PEERU LAL""}"
27,Completed,digital,CIBIL Report,CIBIL Report (100%),2.70,"{""applicant_name"": ""PEERU LAL""}"
28,Completed,digital,CIBIL Report,CIBIL Report (100%),2.76,"{""applicant_name"": ""PEERU LAL""}"
29,Completed,digital,CIBIL Report,CIBIL Report (100%),2.79,"{""applicant_name"": ""PEERU LAL""}"
30,Completed,digital,CRIF Report,-,2.92,"{""applicant_name"": ""PEERU LAL""}"
31,Completed,digital,Unknown,Loan Agreement (100%),3.41,-
32,Completed,digital,CRIF Report,Loan Agreement (70%),3.70,"{""applicant_name"": ""institution"", ""report_date"": ""2025-05-31""}"
33,Completed,digital,CRIF Report,CRIF Report (100%),2.37,-
34,Completed,digital,CRIF Report,CRIF Report (100%),2.69,"{""applicant_name"": ""UNKAR LAL""}"
35,Completed,digital,CRIF Report,CRIF Report (100%),2.59,"{""applicant_name"": ""institution"", ""report_date"": ""2026-05-31""}"
36,Completed,digital,CRIF Report,-,2.41,-
37,Completed,scanned,Foreclosure Letter,Loan Agreement (60%),35.24,-
38,Completed,scanned,Unknown,Stamp Duty (90%),34.34,-
39,Completed,scanned,Unknown,Property Document (80%),26.46,-
40,Completed,scanned,Unknown,Property Document (80%),39.17,-
41,Completed,scanned,Aadhaar,Guarantee Deed (95%),47.33,-
42,Completed,scanned,Unknown,Sanction Letter (80%),11.95,-
43,Completed,scanned,NOC,NOC (80%),103.05,-
44,Completed,scanned,Unknown,Stamp Duty (90%),15.77,-
45,Completed,scanned,Unknown,Property Document (80%),13.60,-
46,Completed,digital,Application Form,Application Form (100%),2.32,-
47,Completed,digital,Application Form,Application Form (100%),1.92,-
48,Completed,digital,Application Form,Application Form (95%),2.65,-
49,Completed,digital,Application Form,Application Form (95%),3.02,-
